Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,UF,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
1421,12/03/2005,70,52,61,54,13,000,1,,MT,1.083.20898,133,3.26119,7730,7453.0,0,0,NÃO,000,000,000
1422,15/03/2005,63,14,8,3,10,000,2,,MG,138.78970,234,1.18624,9793,3765.0,0,0,NÃO,000,000,000
1422,15/03/2005,63,14,8,3,10,000,2,,RS,138.78970,234,1.18624,9793,3765.0,0,0,NÃO,000,000,000
1423,17/03/2005,63,49,23,14,12,000,0,&nbsp,&nbsp,000,144,2.00249,7292,5253.0,0,0,SIM,288.35894,000,000
1424,19/03/2005,3,21,66,54,32,000,1,,SP,671.35416,182,2.10437,8767,5803.0,0,0,NÃO,000,000,000
1425,22/03/2005,76,18,11,1,29,000,0,&nbsp,&nbsp,000,128,2.13373,6452,5623.0,0,0,SIM,273.11698,000,000
1426,24/03/2005,3,38,73,44,46,000,2,,RJ,301.53164,164,2.01187,7956,5509.0,0,0,NÃO,000,000,000
1426,24/03/2005,3,38,73,44,46,000,2,,SP,301.53164,164,2.01187,7956,5509.0,0,0,NÃO,000,000,000
1427,26/03/2005,48,79,38,26,40,000,1,,DF,216.89897,68,3.18969,3519,8187.0,0,0,NÃO,000,000,000
1428,29/03/2005,73,80,4,76,70,000,0,&nbsp,&nbsp,000,122,2.14436,4920,7064.0,0,0,SIM,261.61216,000,000
1429,31/03/2005,70,36,77,29,47,000,0,&nbsp,&nbsp,000,127,2.68878,5928,7652.0,0,0,SIM,603.08717,000,000
1430,02/04/2005,26,76,51,14,43,000,1,,SP,1.025.36098,176,2.39928,8446,6642.0,0,0,NÃO,000,000,000
1431,05/04/2005,4,48,8,69,35,000,0,&nbsp,&nbsp,000,181,1.53146,8143,4522.0,0,0,SIM,277.19424,000,000
1432,07/04/2005,25,23,37,30,15,000,2,,MG,320.95115,230,1.58569,9744,4973.0,0,0,NÃO,000,000,000
1432,07/04/2005,25,23,37,30,15,000,2,,RJ,320.95115,230,1.58569,9744,4973.0,0,0,NÃO,000,000,000
1433,09/04/2005,65,66,31,4,58,000,0,&nbsp,&nbsp,000,75,4.32930,5106,8447.0,0,0,SIM,324.69750,000,000
1434,12/04/2005,16,4,67,35,13,000,0,&nbsp,&nbsp,000,256,1.36831,10864,4283.0,0,0,SIM,674.98456,000,000
1435,14/04/2005,4,59,15,17,56,000,1,,SP,1.097.00253,273,1.54586,11594,4836.0,0,0,NÃO,000,000,000
1436,16/04/2005,53,54,62,60,3,000,0,&nbsp,&nbsp,000,106,3.01216,5686,7459.0,0,0,SIM,319.28860,000,000
1437,19/04/2005,26,3,62,12,54,000,4,,SP,169.00012,341,1.04608,13737,3450.0,0,0,NÃO,000,000,000
1437,19/04/2005,26,3,62,12,54,000,4,,SP,169.00012,341,1.04608,13737,3450.0,0,0,NÃO,000,000,000
1437,19/04/2005,26,3,62,12,54,000,4,,SP,169.00012,341,1.04608,13737,3450.0,0,0,NÃO,000,000,000
1437,19/04/2005,26,3,62,12,54,000,4,,SP,169.00012,341,1.04608,13737,3450.0,0,0,NÃO,000,000,000
1438,23/04/2005,30,5,15,68,79,000,0,&nbsp,&nbsp,000,122,3.00774,6960,7004.0,0,0,SIM,366.94442,000,000
1439,26/04/2005,15,39,31,63,13,000,2,,MG,358.31573,258,1.35538,9536,4871.0,0,0,NÃO,000,000,000
1439,26/04/2005,15,39,31,63,13,000,2,,MG,358.31573,258,1.35538,9536,4871.0,0,0,NÃO,000,000,000
1440,28/04/2005,10,16,59,52,18,000,2,,CE,143.71179,107,2.68621,6573,5809.0,0,0,NÃO,000,000,000
1440,28/04/2005,10,16,59,52,18,000,2,,RS,143.71179,107,2.68621,6573,5809.0,0,0,NÃO,000,000,000
1441,30/04/2005,53,49,61,11,3,000,1,,MG,314.92639,156,2.01876,7298,5733.0,0,0,NÃO,000,000,000
1442,03/05/2005,11,45,73,77,42,000,1,,RN,285.59511,141,2.02550,6164,6155.0,0,0,NÃO,000,000,000
1443,05/05/2005,19,38,21,58,9,000,0,&nbsp,&nbsp,000,268,1.15752,10342,3985.0,0,0,SIM,310.21619,000,000
1444,07/05/2005,51,69,29,75,62,000,0,&nbsp,&nbsp,000,129,2.99569,6128,8377.0,0,0,SIM,696.66004,000,000
1445,10/05/2005,18,13,77,41,54,000,1,,RJ,1.094.09031,230,1.72796,10400,5076.0,0,0,NÃO,000,000,000
1446,12/05/2005,10,52,73,2,27,000,0,&nbsp,&nbsp,000,117,2.58795,6762,5949.0,0,0,SIM,302.78941,000,000
1447,14/05/2005,11,33,4,15,14,000,2,,SP,340.90363,356,1.06466,14499,3473.0,0,0,NÃO,000,000,000
1447,14/05/2005,11,33,4,15,14,000,2,,SP,340.90363,356,1.06466,14499,3473.0,0,0,NÃO,000,000,000
1448,17/05/2005,41,20,77,69,29,000,0,&nbsp,&nbsp,000,80,3.47281,4290,8603.0,0,0,SIM,277.82445,000,000
1449,19/05/2005,21,3,67,24,13,000,0,&nbsp,&nbsp,000,234,1.49365,11669,3979.0,0,0,SIM,627.33839,000,000
1450,21/05/2005,55,11,14,74,58,000,1,,SC,1.050.75097,148,2.86090,8577,6558.0,0,0,NÃO,000,000,000
1451,24/05/2005,2,13,66,79,53,000,0,&nbsp,&nbsp,000,125,2.18110,5809,6235.0,0,0,SIM,272.63726,000,000
1452,28/05/2005,1,23,37,15,4,000,2,,BA,357.51957,436,1.01468,18644,3152.0,0,0,NÃO,000,000,000
1452,28/05/2005,1,23,37,15,4,000,2,,ES,357.51957,436,1.01468,18644,3152.0,0,0,NÃO,000,000,000
1453,31/05/2005,1,38,70,59,23,000,0,&nbsp,&nbsp,000,90,3.15836,4932,7655.0,0,0,SIM,284.25173,000,000
1454,02/06/2005,6,51,69,30,53,000,1,,DF,666.76839,133,2.87607,7025,7233.0,0,0,NÃO,000,000,000
1455,04/06/2005,67,59,68,46,28,000,0,&nbsp,&nbsp,000,135,2.52456,6548,6914.0,0,0,SIM,340.81602,000,000
1456,07/06/2005,76,17,10,8,68,000,1,,PR,719.27271,132,2.86710,8091,6214.0,0,0,NÃO,000,000,000
1457,09/06/2005,14,21,73,22,59,000,0,&nbsp,&nbsp,000,109,2.96661,6114,7026.0,0,0,SIM,323.36091,000,000
1458,11/06/2005,23,13,39,40,48,000,1,,GO,727.86129,192,2.10677,9583,5607.0,0,0,NÃO,000,000,000
1459,14/06/2005,14,40,63,52,71,000,0,&nbsp,&nbsp,000,95,3.09144,4388,8891.0,0,0,SIM,293.68612,000,000
1460,16/06/2005,2,48,51,32,13,000,6,,AL,111.15015,203,1.83850,9933,4991.0,0,0,NÃO,000,000,000
1460,16/06/2005,2,48,51,32,13,000,6,,MG,111.15015,203,1.83850,9933,4991.0,0,0,NÃO,000,000,000
1460,16/06/2005,2,48,51,32,13,000,6,,PB,111.15015,203,1.83850,9933,4991.0,0,0,NÃO,000,000,000
1460,16/06/2005,2,48,51,32,13,000,6,,SP,111.15015,203,1.83850,9933,4991.0,0,0,NÃO,000,000,000
1460,16/06/2005,2,48,51,32,13,000,6,,SP,111.15015,203,1.83850,9933,4991.0,0,0,NÃO,000,000,000
1460,16/06/2005,2,48,51,32,13,000,6,,SP,111.15015,203,1.83850,9933,4991.0,0,0,NÃO,000,000,000
1461,18/06/2005,6,75,49,27,61,000,2,,MG,166.04444,112,2.96508,5977,7381.0,0,0,NÃO,000,000,000
1461,18/06/2005,6,75,49,27,61,000,2,,SP,166.04444,112,2.96508,5977,7381.0,0,0,NÃO,000,000,000
1462,21/06/2005,46,48,2,55,45,000,0,&nbsp,&nbsp,000,105,2.66739,5471,6801.0,0,0,SIM,280.07588,000,000
1463,23/06/2005,46,18,47,30,76,000,1,,SP,632.43781,125,2.81890,6455,7251.0,0,0,NÃO,000,000,000
1464,25/06/2005,39,55,71,10,40,000,0,&nbsp,&nbsp,000,112,2.72872,5674,7155.0,0,0,SIM,305.61600,000,000
1465,28/06/2005,12,71,14,58,46,000,1,,RS,648.09968,153,2.23846,7356,6185.0,0,0,NÃO,000,000,000
1466,30/06/2005,19,72,15,13,41,000,0,&nbsp,&nbsp,000,197,1.49827,9860,3976.0,0,0,SIM,295.15911,000,000
1467,02/07/2005,16,69,15,10,62,000,0,&nbsp,&nbsp,000,171,2.28837,7499,6932.0,0,0,SIM,686.47141,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,ES,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,GO,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,MG,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,MG,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,PA,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,RJ,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,RS,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1468,05/07/2005,65,17,47,25,43,000,8,,SP,137.85395,477,87288,13007,4252.0,0,0,NÃO,000,000,000
1469,07/07/2005,46,58,33,30,52,000,2,,CE,163.11496,147,2.21925,6804,6369.0,0,0,NÃO,000,000,000
1469,07/07/2005,46,58,33,30,52,000,2,,SP,163.11496,147,2.21925,6804,6369.0,0,0,NÃO,000,000,000
1470,09/07/2005,70,40,44,4,67,000,0,&nbsp,&nbsp,000,152,2.17917,6843,6430.0,0,0,SIM,331.23413,000,000
1471,12/07/2005,63,45,24,57,25,000,0,&nbsp,&nbsp,000,257,1.47906,10240,4931.0,0,0,SIM,711.35238,000,000
1472,14/07/2005,35,51,57,25,53,000,1,,RJ,1.162.15484,225,2.00357,11580,5172.0,0,0,NÃO,000,000,000
1473,16/07/2005,15,74,17,54,24,000,1,,SE,337.90637,160,2.11192,8406,5340.0,0,0,NÃO,000,000,000
1474,19/07/2005,25,3,54,40,6,000,0,&nbsp,&nbsp,000,192,1.53905,8742,4490.0,0,0,SIM,295.49749,000,000
1475,21/07/2005,63,7,13,21,47,000,6,,GO,112.28711,419,90269,15204,3305.0,0,0,NÃO,000,000,000
1475,21/07/2005,63,7,13,21,47,000,6,,MG,112.28711,419,90269,15204,3305.0,0,0,NÃO,000,000,000
1475,21/07/2005,63,7,13,21,47,000,6,,PB,112.28711,419,90269,15204,3305.0,0,0,NÃO,000,000,000
1475,21/07/2005,63,7,13,21,47,000,6,,RS,112.28711,419,90269,15204,3305.0,0,0,NÃO,000,000,000
1475,21/07/2005,63,7,13,21,47,000,6,,RS,112.28711,419,90269,15204,3305.0,0,0,NÃO,000,000,000
1475,21/07/2005,63,7,13,21,47,000,6,,SE,112.28711,419,90269,15204,3305.0,0,0,NÃO,000,000,000
1476,23/07/2005,1,37,60,75,6,000,1,,PR,328.15685,122,2.68981,5874,7421.0,0,0,NÃO,000,000,000
1477,26/07/2005,54,76,58,80,70,000,0,&nbsp,&nbsp,000,92,3.06831,4785,7837.0,0,0,SIM,282.28396,000,000
1478,28/07/2005,10,30,75,55,22,000,1,,PA,650.97522,168,2.19459,7280,6728.0,0,0,NÃO,000,000,000
1479,30/07/2005,9,14,13,32,19,000,1,,SP,330.65684,419,78617,16462,2668.0,0,0,NÃO,000,000,000
1480,02/08/2005,20,73,1,37,79,000,0,&nbsp,&nbsp,000,107,2.66469,4681,8091.0,0,0,SIM,285.12122,000,000
1481,04/08/2005,74,8,29,55,1,000,1,,SP,674.71446,139,2.80283,7760,6669.0,0,0,NÃO,000,000,000
1482,06/08/2005,79,44,27,8,13,000,2,,GO,172.27551,279,1.23495,11726,3904.0,0,0,NÃO,000,000,000
1482,06/08/2005,79,44,27,8,13,000,2,,SC,172.27551,279,1.23495,11726,3904.0,0,0,NÃO,000,000,000
1483,09/08/2005,74,19,16,24,54,000,0,&nbsp,&nbsp,000,190,1.59830,9314,4331.0,0,0,SIM,303.67628,000,000
1484,11/08/2005,21,47,59,40,39,000,0,&nbsp,&nbsp,000,134,2.90269,7033,7346.0,0,0,SIM,692.63750,000,000
1485,13/08/2005,35,69,47,49,36,000,0,&nbsp,&nbsp,000,201,2.19630,9371,6259.0,0,0,SIM,1.134.09375,000,000
1486,16/08/2005,53,56,41,64,51,000,0,&nbsp,&nbsp,000,166,2.82058,8567,7260.0,0,0,SIM,1.602.31019,000,000
1487,18/08/2005,22,80,73,10,14,000,2,,RJ,1.076.95155,294,1.87617,12395,5912.0,0,0,NÃO,000,000,000
1487,18/08/2005,22,80,73,10,14,000,2,,RJ,1.076.95155,294,1.87617,12395,5912.0,0,0,NÃO,000,000,000
1488,20/08/2005,28,11,30,13,54,000,0,&nbsp,&nbsp,000,250,1.33889,10780,4125.0,0,0,SIM,334.72338,000,000
1489,23/08/2005,40,27,16,35,5,000,0,&nbsp,&nbsp,000,205,1.83179,9952,5012.0,0,0,SIM,710.23936,000,000
1490,25/08/2005,70,60,8,31,18,000,2,,MG,571.91822,134,3.23580,7844,7343.0,0,0,NÃO,000,000,000
1490,25/08/2005,70,60,8,31,18,000,2,,SP,571.91822,134,3.23580,7844,7343.0,0,0,NÃO,000,000,000
1491,27/08/2005,68,12,65,23,74,000,2,,PR,164.29046,113,2.90780,6312,6915.0,0,0,NÃO,000,000,000
1491,27/08/2005,68,12,65,23,74,000,2,,SP,164.29046,113,2.90780,6312,6915.0,0,0,NÃO,000,000,000
1492,30/08/2005,6,39,59,42,74,000,0,&nbsp,&nbsp,000,98,2.91159,5665,6691.0,0,0,SIM,285.33564,000,000
1493,01/09/2005,14,49,28,45,11,000,2,,RJ,334.72377,285,1.34776,11735,4348.0,0,0,NÃO,000,000,000
1493,01/09/2005,14,49,28,45,11,000,2,,SP,334.72377,285,1.34776,11735,4348.0,0,0,NÃO,000,000,000
1494,03/09/2005,4,44,36,27,12,000,4,,MG,85.17958,364,93604,13323,3398.0,0,0,NÃO,000,000,000
1494,03/09/2005,4,44,36,27,12,000,4,,SC,85.17958,364,93604,13323,3398.0,0,0,NÃO,000,000,000
1494,03/09/2005,4,44,36,27,12,000,4,,SP,85.17958,364,93604,13323,3398.0,0,0,NÃO,000,000,000
1494,03/09/2005,4,44,36,27,12,000,4,,SP,85.17958,364,93604,13323,3398.0,0,0,NÃO,000,000,000
1495,06/09/2005,8,58,31,1,21,000,1,,MG,303.34391,131,2.31560,7252,5556.0,0,0,NÃO,000,000,000
1496,08/09/2005,18,41,8,75,42,000,3,,CE,89.68974,93,2.89322,5479,6524.0,0,0,NÃO,000,000,000
1496,08/09/2005,18,41,8,75,42,000,3,,SP,89.68974,93,2.89322,5479,6524.0,0,0,NÃO,000,000,000
1496,08/09/2005,18,41,8,75,42,000,3,,SP,89.68974,93,2.89322,5479,6524.0,0,0,NÃO,000,000,000
1497,10/09/2005,28,31,10,15,22,000,3,,MG,113.59108,299,1.13971,10264,4411.0,0,0,NÃO,000,000,000
1497,10/09/2005,28,31,10,15,22,000,3,,RJ,113.59108,299,1.13971,10264,4411.0,0,0,NÃO,000,000,000
1497,10/09/2005,28,31,10,15,22,000,3,,SP,113.59108,299,1.13971,10264,4411.0,0,0,NÃO,000,000,000
1498,13/09/2005,76,8,41,48,6,000,2,,GO,148.35446,121,2.45214,5872,6712.0,0,0,NÃO,000,000,000
1498,13/09/2005,76,8,41,48,6,000,2,,SP,148.35446,121,2.45214,5872,6712.0,0,0,NÃO,000,000,000
1499,15/09/2005,1,26,9,78,35,000,2,,RS,159.33795,138,2.30925,7297,5801.0,0,0,NÃO,000,000,000
1499,15/09/2005,1,26,9,78,35,000,2,,SP,159.33795,138,2.30925,7297,5801.0,0,0,NÃO,000,000,000
1500,19/09/2005,65,52,43,74,30,000,0,&nbsp,&nbsp,000,95,3.46335,4836,9038.0,0,0,SIM,329.01764,000,000
1501,20/09/2005,73,16,52,72,48,000,1,,DF,629.17328,90,3.33506,5251,7593.0,0,0,NÃO,000,000,000
1502,22/09/2005,31,65,46,74,45,000,0,&nbsp,&nbsp,000,91,3.38338,5036,8122.0,0,0,SIM,307.88730,000,000
1503,24/09/2005,11,32,47,39,25,000,6,,PE,114.13948,267,1.41180,12356,4052.0,0,0,NÃO,000,000,000
1503,24/09/2005,11,32,47,39,25,000,6,,RS,114.13948,267,1.41180,12356,4052.0,0,0,NÃO,000,000,000
1503,24/09/2005,11,32,47,39,25,000,6,,SP,114.13948,267,1.41180,12356,4052.0,0,0,NÃO,000,000,000
1503,24/09/2005,11,32,47,39,25,000,6,,SP,114.13948,267,1.41180,12356,4052.0,0,0,NÃO,000,000,000
1503,24/09/2005,11,32,47,39,25,000,6,,SP,114.13948,267,1.41180,12356,4052.0,0,0,NÃO,000,000,000
1503,24/09/2005,11,32,47,39,25,000,6,,SP,114.13948,267,1.41180,12356,4052.0,0,0,NÃO,000,000,000
1504,27/09/2005,1,45,79,6,38,000,0,&nbsp,&nbsp,000,137,2.03267,5969,6198.0,0,0,SIM,278.47601,000,000
1505,29/09/2005,77,70,2,71,10,000,3,,BA,209.99776,204,1.72312,7892,5917.0,0,0,NÃO,000,000,000
1505,29/09/2005,77,70,2,71,10,000,3,,MG,209.99776,204,1.72312,7892,5917.0,0,0,NÃO,000,000,000
1505,29/09/2005,77,70,2,71,10,000,3,,PR,209.99776,204,1.72312,7892,5917.0,0,0,NÃO,000,000,000
1506,01/10/2005,42,46,71,64,67,000,0,&nbsp,&nbsp,000,138,2.32838,5968,7152.0,0,0,SIM,321.31594,000,000
1507,04/10/2005,18,24,59,32,51,000,1,,SC,681.34797,198,1.81835,8723,5483.0,0,0,NÃO,000,000,000
1508,06/10/2005,67,11,3,63,19,000,3,,RJ,105.75638,236,1.34436,10006,4212.0,0,0,NÃO,000,000,000
1508,06/10/2005,67,11,3,63,19,000,3,,SP,105.75638,236,1.34436,10006,4212.0,0,0,NÃO,000,000,000
1508,06/10/2005,67,11,3,63,19,000,3,,SP,105.75638,236,1.34436,10006,4212.0,0,0,NÃO,000,000,000
1509,08/10/2005,78,49,60,7,47,000,1,,SP,331.72878,117,2.83529,6783,6497.0,0,0,NÃO,000,000,000
1510,11/10/2005,69,54,15,37,71,000,1,,RS,293.90331,180,1.63280,6347,6151.0,0,0,NÃO,000,000,000
1511,13/10/2005,79,49,21,26,75,000,1,,SP,250.23512,77,3.24981,4228,7863.0,0,0,NÃO,000,000,000
1512,15/10/2005,3,36,7,57,38,000,1,,RJ,314.47066,226,1.39146,9560,4370.0,0,0,NÃO,000,000,000
1513,18/10/2005,1,71,11,29,62,000,0,&nbsp,&nbsp,000,93,2.94117,5391,6740.0,0,0,SIM,273.52834,000,000
1514,20/10/2005,41,5,25,32,21,000,1,,PR,635.19822,210,1.72224,9624,4992.0,0,0,NÃO,000,000,000
1515,22/10/2005,63,9,45,49,75,000,2,,RS,158.32811,176,1.79919,7613,5525.0,0,0,NÃO,000,000,000
1515,22/10/2005,63,9,45,49,75,000,2,,RS,158.32811,176,1.79919,7613,5525.0,0,0,NÃO,000,000,000
1516,25/10/2005,38,14,59,69,26,000,0,&nbsp,&nbsp,000,118,2.31954,5656,6428.0,0,0,SIM,273.70523,000,000
1517,27/10/2005,79,62,48,72,51,000,0,&nbsp,&nbsp,000,87,3.98055,4797,9589.0,0,0,SIM,620.01353,000,000
1518,29/10/2005,64,17,4,15,25,000,0,&nbsp,&nbsp,000,240,1.68003,12343,4340.0,0,0,SIM,1.023.21965,000,000
1519,01/11/2005,39,57,3,64,17,000,6,,GO,246.49636,370,1.23178,11890,5092.0,0,0,NÃO,000,000,000
1519,01/11/2005,39,57,3,64,17,000,6,,GO,246.49636,370,1.23178,11890,5092.0,0,0,NÃO,000,000,000
1519,01/11/2005,39,57,3,64,17,000,6,,MS,246.49636,370,1.23178,11890,5092.0,0,0,NÃO,000,000,000
1519,01/11/2005,39,57,3,64,17,000,6,,PR,246.49636,370,1.23178,11890,5092.0,0,0,NÃO,000,000,000
1519,01/11/2005,39,57,3,64,17,000,6,,RS,246.49636,370,1.23178,11890,5092.0,0,0,NÃO,000,000,000
1519,01/11/2005,39,57,3,64,17,000,6,,SP,246.49636,370,1.23178,11890,5092.0,0,0,NÃO,000,000,000
1520,03/11/2005,46,67,79,35,77,000,0,&nbsp,&nbsp,000,89,2.96780,4493,7809.0,0,0,SIM,264.13434,000,000
1521,05/11/2005,37,43,53,22,63,000,0,&nbsp,&nbsp,000,123,3.15726,7748,6658.0,0,0,SIM,652.47677,000,000
1522,08/11/2005,59,23,64,11,8,000,3,,DF,353.75471,280,1.45995,10690,5080.0,0,0,NÃO,000,000,000
1522,08/11/2005,59,23,64,11,8,000,3,,RJ,353.75471,280,1.45995,10690,5080.0,0,0,NÃO,000,000,000
1522,08/11/2005,59,23,64,11,8,000,3,,SP,353.75471,280,1.45995,10690,5080.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,MG,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,MG,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,MG,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,RJ,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,RS,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,SP,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1523,10/11/2005,17,32,28,14,71,000,7,,SP,46.09747,199,1.62152,8644,4959.0,0,0,NÃO,000,000,000
1524,12/11/2005,50,80,48,21,22,000,1,,RJ,334.06063,103,3.24331,5670,7827.0,0,0,NÃO,000,000,000
1525,17/11/2005,32,7,31,67,70,000,0,&nbsp,&nbsp,000,122,2.89623,6386,7350.0,0,0,SIM,353.33921,000,000
1526,19/11/2005,4,65,32,48,46,000,0,&nbsp,&nbsp,000,238,1.60537,9277,5471.0,0,0,SIM,735.41706,000,000
1527,22/11/2005,73,6,64,35,52,000,1,,SP,1.143.24852,177,2.30413,8900,6087.0,0,0,NÃO,000,000,000
1528,24/11/2005,36,10,52,68,63,000,1,,RS,297.88888,98,3.03968,5711,6929.0,0,0,NÃO,000,000,000
1529,26/11/2005,55,23,47,41,48,000,1,,DF,317.00597,113,2.80537,6920,6085.0,0,0,NÃO,000,000,000
1530,29/11/2005,71,79,20,47,39,000,0,&nbsp,&nbsp,000,79,3.23533,3816,8897.0,0,0,SIM,255.59069,000,000
1531,01/12/2005,44,60,72,34,41,000,0,&nbsp,&nbsp,000,120,3.08616,5550,8864.0,0,0,SIM,625.93053,000,000
1532,03/12/2005,39,65,59,36,43,000,2,,RS,535.31525,290,1.53345,10207,5787.0,0,0,NÃO,000,000,000
1532,03/12/2005,39,65,59,36,43,000,2,,RS,535.31525,290,1.53345,10207,5787.0,0,0,NÃO,000,000,000
1533,06/12/2005,44,37,45,24,34,000,0,&nbsp,&nbsp,000,173,1.75847,7687,5257.0,0,0,SIM,304.21599,000,000
1534,08/12/2005,54,35,33,60,50,000,0,&nbsp,&nbsp,000,136,2.71486,6753,7263.0,0,0,SIM,673.43754,000,000
1535,10/12/2005,27,80,22,69,76,000,2,,RJ,565.63934,179,2.55777,8424,7220.0,0,0,NÃO,000,000,000
1535,10/12/2005,27,80,22,69,76,000,2,,RS,565.63934,179,2.55777,8424,7220.0,0,0,NÃO,000,000,000
1536,13/12/2005,61,78,58,53,74,000,2,,MG,157.73328,170,1.85568,5967,7023.0,0,0,NÃO,000,000,000
1536,13/12/2005,61,78,58,53,74,000,2,,RJ,157.73328,170,1.85568,5967,7023.0,0,0,NÃO,000,000,000
1537,15/12/2005,34,36,24,74,1,000,0,&nbsp,&nbsp,000,124,2.64540,7125,6116.0,0,0,SIM,328.02955,000,000
1538,17/12/2005,41,31,2,57,26,000,1,,MG,730.10614,135,2.97834,6969,7664.0,0,0,NÃO,000,000,000
1539,20/12/2005,23,72,36,51,16,000,0,&nbsp,&nbsp,000,114,2.71416,6060,6783.0,0,0,SIM,309.41367,000,000
1540,22/12/2005,45,3,57,30,66,000,1,,SC,713.02167,168,2.40243,8465,6333.0,0,0,NÃO,000,000,000
1541,24/12/2005,33,53,68,1,15,000,0,&nbsp,&nbsp,000,109,2.52204,5936,6152.0,0,0,SIM,274.90279,000,000
1542,27/12/2005,29,79,26,72,69,000,1,,SP,628.88941,150,2.35991,6643,7079.0,0,0,NÃO,000,000,000
1543,29/12/2005,62,57,60,22,4,000,0,&nbsp,&nbsp,000,121,2.64430,6032,7047.0,0,0,SIM,319.95999,000,000
1544,31/12/2005,37,1,73,8,51,000,0,&nbsp,&nbsp,000,128,2.37634,6008,6726.0,0,0,SIM,624.13081,000,000
1545,03/01/2006,39,16,24,8,73,000,0,&nbsp,&nbsp,000,282,1.42648,10224,5227.0,0,0,SIM,1.026.39797,000,000
1546,05/01/2006,9,38,79,73,44,000,1,,SP,1.548.44446,277,1.88464,11665,5945.0,0,0,NÃO,000,000,000
1547,07/01/2006,34,51,54,43,36,000,1,,PR,348.95829,195,1.78953,8533,5433.0,0,0,NÃO,000,000,000
1548,10/01/2006,10,74,22,39,69,000,4,,MG,77.10426,137,2.25122,6974,5875.0,0,0,NÃO,000,000,000
1548,10/01/2006,10,74,22,39,69,000,4,,RJ,77.10426,137,2.25122,6974,5875.0,0,0,NÃO,000,000,000
1548,10/01/2006,10,74,22,39,69,000,4,,SP,77.10426,137,2.25122,6974,5875.0,0,0,NÃO,000,000,000
1548,10/01/2006,10,74,22,39,69,000,4,,SP,77.10426,137,2.25122,6974,5875.0,0,0,NÃO,000,000,000
1549,12/01/2006,19,71,51,60,64,000,1,,SP,326.70331,99,3.30004,5102,8506.0,0,0,NÃO,000,000,000
1550,14/01/2006,47,53,38,15,45,000,0,&nbsp,&nbsp,000,353,95555,10071,4450.0,0,0,SIM,337.30903,000,000
1551,17/01/2006,34,39,62,76,10,000,1,,RJ,702.55897,152,2.40296,6613,7337.0,0,0,NÃO,000,000,000
1552,19/01/2006,61,50,43,6,22,000,0,&nbsp,&nbsp,000,95,3.27994,5197,7964.0,0,0,SIM,311.59420,000,000
1553,21/01/2006,16,77,76,35,52,000,2,,SP,344.02550,153,2.46050,7152,6993.0,0,0,NÃO,000,000,000
1553,21/01/2006,16,77,76,35,52,000,2,,SP,344.02550,153,2.46050,7152,6993.0,0,0,NÃO,000,000,000
1554,24/01/2006,17,64,10,37,34,000,1,,PA,286.63003,167,1.71635,7989,4766.0,0,0,NÃO,000,000,000
1555,26/01/2006,64,65,59,31,67,000,0,&nbsp,&nbsp,000,72,4.07893,4386,8895.0,0,0,SIM,293.68330,000,000
1556,28/01/2006,25,55,51,18,50,000,1,,PR,664.58180,222,1.67072,9171,5373.0,0,0,NÃO,000,000,000
1557,31/01/2006,73,55,47,12,51,000,0,&nbsp,&nbsp,000,124,2.27679,5769,6501.0,0,0,SIM,282.32162,000,000
1558,02/02/2006,13,64,17,54,79,000,3,,MG,220.00870,215,1.75677,10011,5012.0,0,0,NÃO,000,000,000
1558,02/02/2006,13,64,17,54,79,000,3,,MS,220.00870,215,1.75677,10011,5012.0,0,0,NÃO,000,000,000
